age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
34,5,25433,14,6,0,10,1,4,1,55,0,56,39
9,1,26844,9,4,4,10,1,4,1,0,0,50,39
10,4,15884,0,12,2,6,0,4,1,0,0,34,39
5,4,15537,11,15,4,1,3,4,0,0,0,34,39
20,4,4498,11,15,0,4,4,4,0,0,0,45,39
27,4,26891,11,15,0,1,4,4,0,0,0,34,39
9,4,5888,9,4,4,10,3,4,1,0,0,34,0
33,2,4713,12,5,2,10,0,4,1,114,0,34,39
21,4,21502,7,3,0,1,1,4,0,0,0,7,39
37,4,21339,11,15,5,12,4,4,0,0,0,28,39
3,4,8534,11,15,4,8,3,1,0,0,0,6,0
17,4,10662,11,15,4,12,3,4,0,0,0,28,39
5,4,21085,11,15,4,1,1,4,0,0,0,56,39
3,4,9560,15,1,4,12,1,4,0,0,0,12,39
18,4,3460,8,2,2,1,0,4,1,20,0,34,22
30,4,12974,11,15,2,7,5,2,0,0,0,34,39
15,4,859,12,5,4,1,1,4,1,0,0,34,39
29,4,5667,11,15,2,7,0,4,1,0,0,37,39
23,4,1594,8,2,2,4,0,4,1,0,0,45,39
41,4,6026,9,4,2,10,0,4,1,0,42,34,39
8,4,27777,8,2,2,4,0,4,1,0,0,71,39
27,4,628,7,3,0,1,4,4,0,0,0,34,39
44,4,14056,11,15,0,6,1,2,0,0,0,34,39
27,4,20767,9,4,2,12,0,4,1,0,0,45,39
50,4,15241,9,4,2,10,0,4,1,0,0,11,39
26,2,13048,8,2,0,1,1,2,0,0,0,34,39
16,2,5601,15,1,2,11,0,4,1,0,0,34,39
20,4,20757,15,1,4,13,4,4,0,93,0,56,39
13,2,19519,15,1,4,14,4,2,0,0,0,34,39
10,4,5738,11,15,2,4,5,4,0,0,0,34,39
31,6,28211,11,15,5,8,4,4,0,0,0,39,39
10,2,2775,15,1,2,4,0,4,1,0,0,45,39
3,4,22236,11,15,4,12,4,4,1,0,0,39,39
14,7,26790,10,7,2,4,0,4,1,111,0,50,39
29,2,20291,11,15,4,8,4,4,0,0,0,34,39
28,4,16028,9,4,2,12,0,4,1,0,43,34,39
13,4,27969,11,15,0,1,4,2,1,0,0,34,39
31,4,9836,12,5,2,3,0,4,1,0,0,49,39
9,4,26121,11,15,4,5,3,4,1,0,0,34,39
